epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,277.659,0.53713,0.4941,0.85387,0.99202,0.96351,0.97347,0.90528,0.3976,0.35255,0.78472,0.000742625,0.000742625,0.000742625
43,284.091,0.55944,0.50558,0.86834,0.98456,0.95248,0.96915,0.89399,0.39302,0.3598,0.77966,0.00073025,0.00073025,0.00073025
44,290.462,0.55131,0.50919,0.8668,0.97175,0.9626,0.9676,0.88149,0.44452,0.40235,0.79154,0.000717875,0.000717875,0.000717875
45,296.791,0.63112,0.51656,0.88688,0.98834,0.96109,0.97142,0.83182,0.60229,0.43243,0.80656,0.0007055,0.0007055,0.0007055
46,302.964,0.56369,0.49862,0.87278,0.9822,0.95208,0.97214,0.86853,0.48723,0.39303,0.79511,0.000693125,0.000693125,0.000693125
47,309.361,0.54896,0.46972,0.85033,0.98038,0.95661,0.97501,0.85416,0.52945,0.41444,0.79302,0.00068075,0.00068075,0.00068075
48,315.671,0.53578,0.47825,0.86361,0.98803,0.97619,0.97375,0.86342,0.47629,0.36756,0.79286,0.000668375,0.000668375,0.000668375
49,322.113,0.51897,0.46917,0.85869,0.98661,0.97468,0.97408,0.9039,0.39236,0.34564,0.77682,0.000656,0.000656,0.000656
50,328.494,0.51167,0.46896,0.85776,0.98608,0.97619,0.97368,0.89746,0.43042,0.36068,0.78628,0.000643625,0.000643625,0.000643625
51,334.833,0.54533,0.45633,0.85759,0.98942,0.97619,0.9736,0.8926,0.38513,0.33968,0.78334,0.00063125,0.00063125,0.00063125
52,341.368,0.52912,0.47987,0.86058,0.98242,0.96837,0.97421,0.89531,0.40333,0.36701,0.77377,0.000618875,0.000618875,0.000618875
53,347.806,0.5209,0.45595,0.84755,0.9934,0.96133,0.9663,0.89807,0.38015,0.33836,0.7685,0.0006065,0.0006065,0.0006065
54,354.245,0.4936,0.43967,0.84977,0.99072,0.95163,0.97124,0.89443,0.39311,0.33027,0.78108,0.000594125,0.000594125,0.000594125
55,360.67,0.48453,0.42521,0.84855,0.99016,0.96305,0.96279,0.89643,0.38138,0.33044,0.7845,0.00058175,0.00058175,0.00058175
56,367.112,0.49914,0.44096,0.8601,0.97672,0.96429,0.96366,0.88247,0.41706,0.34958,0.78708,0.000569375,0.000569375,0.000569375
57,373.567,0.499,0.44362,0.85383,0.97754,0.9422,0.96169,0.88504,0.40759,0.3534,0.78369,0.000557,0.000557,0.000557
